"id","code"
"126ae41b-30f1-41f9-b5d2-25492773825b","2012"
"e8275715-400a-448f-b6c4-3949ae077e32","2013"
"1d8a536d-0a28-4036-a2a3-cb265aef7ffb","2020"
"7166e17b-e508-4ab6-aeb9-07a591eb1c5e","2021"
"61d493eb-53d0-4623-9d47-a0130348f33b","2022"
"0ca38cab-c67b-4f55-815b-7da67411406c","2023"
"70d853e0-afbb-40f2-8c1d-1bc8e9f8c69d","2031"
"96f6f166-8687-45ff-8a7c-b70fc995f6d4","2042"
"4abc0979-fc0a-4e4b-85db-91881e79a3dc","2050"
"fc89faab-c312-41ae-bc6e-bb2df4eb1920","2051"
"4dacbddb-141b-42a2-8e5f-cd173e8ba2a6","2052"
"f271ebfe-016f-4849-8ee3-ec48844c0f3f","2061"
"628d3cae-58c3-4897-8347-35d3d0db9e03","1020"
"e719d257-5f8c-4d1a-9bc5-9a2a8ef63555","1031"
"ea65c570-4a3f-4e9f-b14a-975601816b7f","17Х0"
"7546cb04-fb1b-4412-82f5-091e55287511","2010"
"19ceabdf-319a-4ca5-879b-0f876d2c9284","2011"
"7a723dd4-6573-41d8-94bc-14641ee96342","1030"
"0babf852-dac4-432f-8c73-fbb9a9bc1cf8","2091"
"d7c525ff-152d-47e8-9a9e-4f185da66389","2092"
"2880db97-9c83-46dd-b306-6928a7df9af3","2093"
"e421fa02-3809-4594-bf29-ef006c2eb54e","2110"
"d8d547fa-8854-4194-a346-15c82437c4e1","2111"
"75262c3a-d37f-4be7-89de-262fa34ceb11","2140"
"e7de87d8-7889-4a47-838c-a22da742f973","2141"
"65f21e84-1210-4ba0-a2da-6f6069eda030","2150"
"251e46d6-ca22-4fed-85f5-eb1c72e02d87","2151"
"b66a5774-cc17-44ba-96dd-23240375aa2f","2160"
"8f755184-25cf-4bf4-9944-a7f6e9fedd77","2161"
"5ca64b1d-79da-4443-8b8d-352af3db6514","2240"
"a40fe507-b099-4d58-abee-4e75e002df06","2241"
"2f1d1b26-6b7a-4dcc-97d3-3e31830cbab5","2250"
"792e76f3-16d1-49e2-8088-0b4d2ec944b9","2260"
"1420cad4-6bb6-4c97-bd92-d37702aaa504","2261"
"7bf57a31-3ebe-4b8a-b730-b69d9be2e24b","27Х2"
"e7282b85-1625-417d-98fa-af828b14f9ca","27Х3"
"baf5316e-a55d-4eb9-879e-17a1bb5e2aad","2072"
"fe64a893-326b-4f40-afe5-28ca3fc39006","2073"
"c1a8594b-a188-49f4-ac61-4cae4ee2b1a6","2081"
"24a6957f-d388-44fe-b4cc-777023f65897","2082"
"28a456f3-3010-4801-a527-244a57de8370","3022"
"fe07bf46-6671-4104-90ec-cd576bf9e095","3023"
"25eb0db4-b7d3-489c-9e1b-7abfd2435622","3030"
"3f28699f-f749-4d14-83d1-4505483a36c1","3031"
"4778abe2-a86e-4111-b880-6747131424cb","3032"
"0255fac3-5918-4b33-a96c-0fcdb8aca7cb","3033"
"81e33357-5aba-47c9-8919-7290daae9eb9","3040"
"cd2f2945-f32a-466d-b63a-da79597eea14","3041"
"61ba8040-6271-4834-9b4d-369250e2c5ac","3043"
"9722a00c-73be-4deb-a725-a572c85635ae","3050"
"3781415a-ff68-4e17-b1ba-fd8b60c9bdea","3051"
"d72f17e1-0109-48a6-bc74-4a4551c81333","3052"
"38bff740-0805-4060-9b93-91044a67cb53","3060"
"e4c16ae4-c92d-4422-aaf3-faf521df523d","37Х0"
"8ee4b667-7a48-40cd-bc58-6dea8c2cae00","37Х2"
"be7b172a-28bc-40e1-b7f9-b7e642d6f506","37Х3"
"9cde2b62-3167-40e2-abb7-a57f9b974e36","4051"
"ba293b8e-ce27-4d9c-ad08-c850f1826481","3012"
"4656e636-ddb5-48c0-aa12-9efdde99b868","3013"
"21943c17-d13f-49a0-8ea5-8c46202d4f94","3020"
"39d0b9dc-88b6-4e18-bdb4-a16e42b77df4","3021"
"59b5c6d5-a3e9-4a2d-890a-674b6a1707ba","4022"
"98d83fae-f2f4-4b25-809d-20f0297befc4","4023"
"6650e90f-769a-4df8-842d-e7bbbe6baa14","4030"
